,year_country,year,final_total_points,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,direct_qualifier_10,gender,main_singers,key,loudness_db,beats_per_min,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,host_10,lgbtqia+,normal_cluster,point_ratio
31,2023_France,2023,104.0,,,6.0,France,La Zarra,Évidemment,French,Ballad,1.0,Female,1,B Major,5,120.0,75.0,73.0,23.0,12.0,0.0,8.0,7.0,0,0,0,0,,50.0,54.0,17.0,10.0,16.0,,,,,0,0,0.0,4.0,0.19024290671565625638
32,2023_Spain,2023,100.0,,,8.0,Spain,Blanca Paloma,Eaea,Spanish,Traditional,1.0,Female,1,F Minor,4,116.0,73.0,61.0,26.0,7.0,0.0,39.0,4.0,5,0,0,0,,5.0,95.0,2.0,21.0,17.0,,,,,0,0,0.0,5.0,0.15270935960591133005
33,2023_Italy,2023,350.0,,,11.0,Italy,Marco Mengoni,Due vite,Italian,Ballad,1.0,Male,1,D Major,6,117.0,54.0,64.0,13.0,40.0,0.0,9.0,3.0,2,0,0,0,,174.0,176.0,29.0,27.0,4.0,,,,,0,0,0.0,5.0,0.27421524663677130045
34,2023_Ukraine,2023,243.0,,,19.0,Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",Pop,1.0,Male,1,Ab Minor,8,78.0,52.0,53.0,34.0,1.0,0.0,9.0,5.0,2,0,1,0,,189.0,54.0,28.0,10.0,6.0,,,,,0,0,0.0,2.0,0.31150234741784037559
35,2023_Germany,2023,18.0,,,21.0,Germany,Lord of the Lost,Blood & Glitter,English,Rock,1.0,Male,1,A Minor,4,139.0,80.0,64.0,47.0,1.0,0.0,5.0,8.0,0,0,4,1,,15.0,3.0,3.0,2.0,26.0,,,,,0,0,0.0,2.0,0.16555217831813576494
36,2023_United Kingdom,2023,24.0,,,26.0,United Kingdom,Mae Muller,I Wrote a Song,English,Pop,1.0,Female,1,A Minor,4,125.0,89.0,71.0,86.0,4.0,0.0,8.0,5.0,0,4,0,0,,9.0,15.0,2.0,5.0,25.0,,,,,0,1,0.0,4.0,0.21160032167269802975
37,2022_Albania,2022,,1.0,1.0,,Albania,Ronela Hajati,Sekret,"Albanian, English",Pop,,Female,1,F Minor,6,100.0,70.0,76.0,45.0,5.0,0.0,52.0,5.0,5,0,0,0,0.0,,,,,,12.0,46.0,12.0,58.0,0,0,,1.0,0.13338989441930618401
38,2022_Latvia,2022,,1.0,2.0,,Latvia,Citi Zeni,Eat Your Salad,English,Pop,,Male,1,B Minor,8,115.0,69.0,75.0,59.0,1.0,0.0,34.0,17.0,0,0,4,0,0.0,,,,,,14.0,16.0,39.0,55.0,0,0,,5.0,0.22116324535679374389
39,2022_Lithuania,2022,128.0,1.0,3.0,14.0,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,0.0,Female,1,C Major,8,93.0,56.0,68.0,50.0,9.0,0.0,31.0,3.0,0,0,0,0,1.0,93.0,35.0,21.0,10.0,14.0,7.0,103.0,56.0,159.0,0,0,0.0,4.0,0.12592910234419668382
40,2022_Switzerland,2022,78.0,1.0,4.0,5.0,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,0.0,Male,1,F Major,11,116.0,18.0,42.0,39.0,87.0,0.0,11.0,4.0,0,0,0,0,1.0,0.0,78.0,0.0,21.0,17.0,9.0,11.0,107.0,118.0,0,0,0.0,2.0,0.19842683288809735827
41,2022_Slovenia,2022,,1.0,5.0,,Slovenia,LPS,Disko,Slovene,Pop,,Male,1,E Minor,6,120.0,61.0,68.0,60.0,0.0,0.0,5.0,3.0,0,0,4,0,0.0,,,,,,17.0,8.0,7.0,15.0,0,0,,1.0,0.11302395209580838323
42,2022_Ukraine,2022,631.0,1.0,6.0,12.0,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,0.0,Male,1,D Major,5,105.0,82.0,83.0,32.0,14.0,0.0,12.0,4.0,1,2,2,0,1.0,439.0,192.0,39.0,26.0,1.0,1.0,202.0,135.0,337.0,1,0,0.0,5.0,0.31150234741784037559
43,2022_Bulgaria,2022,,1.0,7.0,,Bulgaria,Intelligent Music Project,Intention,English,Rock,,Male,1,D Major,8,80.0,84.0,52.0,72.0,3.0,2.0,24.0,3.0,0,0,5,0,0.0,,,,,,16.0,18.0,11.0,29.0,0,0,,1.0,0.31490384615384615385
44,2022_Netherlands,2022,171.0,1.0,8.0,11.0,Netherlands,S10,De diepte,Dutch,Ballad,0.0,Female,1,D Minor,6,87.0,48.0,32.0,15.0,39.0,0.0,14.0,3.0,0,0,0,0,1.0,42.0,129.0,12.0,25.0,11.0,2.0,79.0,142.0,221.0,0,0,0.0,4.0,0.19179443498012492902
45,2022_Moldova,2022,253.0,1.0,9.0,19.0,Moldova,Zdob si Zdub and Advahov Brothers,Trenulețul,"Romanian, English",Traditional,0.0,Male,1,C Major,3,142.0,88.0,70.0,96.0,41.0,0.0,32.0,14.0,0,0,5,0,1.0,239.0,14.0,35.0,4.0,7.0,8.0,135.0,19.0,154.0,0,0,0.0,4.0,0.18179657794676806084
46,2022_Portugal,2022,207.0,1.0,10.0,3.0,Portugal,Maro,"Saudade, saudade","English, Portuguese",Ballad,0.0,Female,6,Bb Minor,11,83.0,34.0,64.0,38.0,68.0,0.0,11.0,4.0,0,0,0,0,1.0,36.0,171.0,9.0,29.0,9.0,4.0,87.0,121.0,208.0,0,0,0.0,5.0,0.14422779325286289075
47,2022_Croatia,2022,,1.0,11.0,,Croatia,Mia Dimsic,Guilty Pleasure,"English, Croatian",Ballad,,Female,1,F Major,7,84.0,59.0,53.0,51.0,12.0,0.0,14.0,6.0,3,0,0,1,0.0,,,,,,11.0,33.0,42.0,75.0,0,0,,1.0,0.16737770193401592719
48,2022_Denmark,2022,,1.0,12.0,,Denmark,Reddi,The Show,English,Rock,,Female,1,C Major,5,90.0,80.0,31.0,21.0,2.0,0.0,37.0,6.0,0,0,3,1,0.0,,,,,,13.0,20.0,35.0,55.0,0,0,,0.0,0.19868024132730015083
49,2022_Austria,2022,,1.0,13.0,,Austria,Lumix feat. Pia Maria,Halo,English,Dance,,Female,1,Ab Major,5,150.0,91.0,57.0,69.0,0.0,0.0,53.0,4.0,0,0,0,1,0.0,,,,,,15.0,36.0,6.0,42.0,0,0,,2.0,0.15319634703196347032
50,2022_Iceland,2022,20.0,1.0,14.0,18.0,Iceland,Systur,Með hækkandi sól,Icelandic,Traditional,0.0,Female,3,D Minor,12,100.0,52.0,58.0,35.0,58.0,4.0,7.0,3.0,0,0,1,1,1.0,10.0,10.0,2.0,4.0,23.0,10.0,39.0,64.0,103.0,0,0,1.0,0.0,0.16759259259259259259
51,2022_Greece,2022,215.0,1.0,15.0,17.0,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,0.0,Female,1,F Major,8,150.0,37.0,48.0,20.0,12.0,0.0,13.0,7.0,0,0,0,0,1.0,57.0,158.0,9.0,26.0,8.0,3.0,60.0,151.0,211.0,0,0,0.0,5.0,0.21553453711665233591
52,2022_Norway,2022,182.0,1.0,16.0,7.0,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,0.0,Male,2,G Minor,10,124.0,53.0,74.0,55.0,20.0,0.0,9.0,4.0,4,0,0,0,1.0,146.0,36.0,32.0,10.0,10.0,6.0,104.0,73.0,177.0,0,0,0.0,5.0,0.19193803708729081863
53,2022_Armenia,2022,61.0,1.0,17.0,8.0,Armenia,Rosa Linn,Snap,English,Ballad,0.0,Female,1,C Major,8,170.0,64.0,56.0,53.0,11.0,0.0,45.0,6.0,0,0,0,1,1.0,21.0,40.0,4.0,10.0,20.0,5.0,105.0,82.0,187.0,0,0,0.0,4.0,0.20807399723374827109
54,2022_Finland,2022,38.0,2.0,1.0,4.0,Finland,The Rasmus,Jezebel,English,Rock,0.0,Male,1,B Minor,4,116.0,87.0,50.0,49.0,0.0,0.0,8.0,4.0,0,0,3,0,1.0,26.0,12.0,8.0,3.0,21.0,7.0,99.0,63.0,162.0,0,0,0.0,2.0,0.13773840022772559066
55,2022_Israel,2022,,2.0,2.0,,Israel,Michael Ben David,I.M,English,Pop,,Male,1,Ab Minor,7,120.0,82.0,70.0,45.0,1.0,0.0,13.0,6.0,4,0,0,0,0.0,,,,,,13.0,27.0,34.0,61.0,0,0,,4.0,0.23580276705276705277
56,2022_Serbia,2022,312.0,2.0,3.0,24.0,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",Traditional,0.0,Female,1,C Major,7,136.0,71.0,92.0,63.0,1.0,0.0,17.0,8.0,5,0,0,0,1.0,225.0,87.0,34.0,15.0,5.0,3.0,174.0,63.0,237.0,0,0,0.0,5.0,0.20875677506775067751
57,2022_Azerbaijan,2022,106.0,2.0,4.0,15.0,Azerbaijan,Nadir Rustamli,Fade to Black,English,Ballad,0.0,Male,1,A Minor,10,79.0,30.0,34.0,30.0,19.0,0.0,14.0,6.0,1,0,0,0,1.0,3.0,103.0,1.0,19.0,16.0,10.0,0.0,96.0,96.0,0,0,0.0,1.0,0.24039067422810333963
58,2022_Georgia,2022,,2.0,5.0,,Georgia,Circus Mircus,Lock Me In,English,Rock,,Male,1,D Major,9,107.0,76.0,79.0,84.0,0.0,0.0,30.0,4.0,0,0,3,1,0.0,,,,,,18.0,9.0,13.0,22.0,0,0,,2.0,0.16753472222222222222
59,2022_Malta,2022,,2.0,6.0,,Malta,Emma Muscat,I Am What I Am,English,Pop,,Female,1,G Major,5,98.0,71.0,56.0,38.0,4.0,0.0,9.0,3.0,4,0,0,1,0.0,,,,,,16.0,20.0,27.0,47.0,0,0,,5.0,0.21326106000876040298
60,2022_San Marino,2022,,2.0,7.0,,San Marino,Achille Lauro,Stripper,"Italian, English",Rock,,Male,1,A Major,6,140.0,80.0,60.0,55.0,0.0,0.0,8.0,10.0,0,0,5,0,0.0,,,,,,14.0,29.0,21.0,50.0,0,0,,0.0,0.05519943019943019943
61,2022_Australia,2022,125.0,2.0,8.0,21.0,Australia,Sheldon Riley,Not the Same,English,Ballad,0.0,Male,1,Bb Minor,10,128.0,43.0,36.0,38.0,66.0,0.0,14.0,4.0,0,0,0,0,1.0,2.0,123.0,1.0,23.0,15.0,2.0,74.0,169.0,243.0,0,0,1.0,5.0,0.25276806526806526807
62,2022_Cyprus,2022,,2.0,9.0,,Cyprus,Andromache,Ela,"English, Greek",Pop,,Female,1,Eb Minor,7,98.0,63.0,66.0,65.0,24.0,0.0,6.0,9.0,2,0,0,0,0.0,,,,,,12.0,54.0,9.0,63.0,0,0,,5.0,0.16113245517746066593
63,2022_Ireland,2022,,2.0,10.0,,Ireland,Brooke,That's Rich,English,Pop,,Female,1,A Major,4,122.0,60.0,68.0,56.0,0.0,0.0,34.0,3.0,4,0,0,0,0.0,,,,,,15.0,35.0,12.0,47.0,0,0,,1.0,0.26095060577819198509
64,2022_North Macedonia,2022,,2.0,11.0,,North Macedonia,Andrea,Circles,English,Ballad,,Female,1,Cs Minor,5,144.0,71.0,54.0,22.0,48.0,0.0,17.0,3.0,0,0,0,0,0.0,,,,,,11.0,20.0,56.0,76.0,0,0,,1.0,0.13973740621650589496
65,2022_Estonia,2022,141.0,2.0,12.0,25.0,Estonia,Stefan,Hope,English,Pop,0.0,Male,1,Bb Minor,5,123.0,78.0,52.0,55.0,19.0,0.0,10.0,4.0,0,0,0,1,1.0,98.0,43.0,19.0,8.0,13.0,5.0,96.0,113.0,209.0,0,0,0.0,0.0,0.20733788395904436860
66,2022_Romania,2022,65.0,2.0,13.0,2.0,Romania,WRS,Llámame,"English, Spanish",Pop,0.0,Male,1,F Minor,6,120.0,76.0,76.0,66.0,6.0,0.0,15.0,13.0,4,0,0,0,1.0,53.0,12.0,12.0,3.0,18.0,9.0,100.0,18.0,118.0,0,0,1.0,4.0,0.16539115646258503401
67,2022_Poland,2022,151.0,2.0,14.0,23.0,Poland,Ochman,River,English,Ballad,0.0,Male,1,Ab Major,5,140.0,67.0,51.0,33.0,56.0,0.0,12.0,4.0,4,0,0,0,1.0,105.0,46.0,22.0,9.0,12.0,6.0,114.0,84.0,198.0,0,0,0.0,5.0,0.12793542074363992172
68,2022_Montenegro,2022,,2.0,15.0,,Montenegro,Vladana,Breathe,"English, Italian",Ballad,,Female,1,G Minor,7,77.0,46.0,43.0,20.0,55.0,0.0,10.0,3.0,0,0,0,0,0.0,,,,,,17.0,22.0,11.0,33.0,0,0,,1.0,0.08766233766233766234
69,2022_Belgium,2022,64.0,2.0,16.0,16.0,Belgium,Jeremie Makiese,Miss You,English,Pop,0.0,Male,1,Fs Minor,6,144.0,53.0,63.0,28.0,24.0,0.0,13.0,5.0,4,0,0,0,1.0,5.0,59.0,2.0,13.0,19.0,8.0,46.0,105.0,151.0,0,0,0.0,2.0,0.16814345991561181435
70,2022_Sweden,2022,438.0,2.0,17.0,20.0,Sweden,Cornelia Jakobs,Hold Me Closer,English,Ballad,0.0,Female,1,Fs Major,8,97.0,62.0,49.0,17.0,11.0,0.0,14.0,4.0,0,0,0,0,1.0,180.0,258.0,33.0,33.0,4.0,1.0,174.0,222.0,396.0,0,0,0.0,4.0,0.28075333757151938970
71,2022_Czech Republic,2022,38.0,2.0,18.0,1.0,Czech Republic,We Are Domi,Lights Off,English,Dance,0.0,Female,1,A Minor,6,126.0,79.0,59.0,52.0,15.0,0.0,21.0,11.0,0,0,2,0,1.0,5.0,33.0,1.0,11.0,22.0,4.0,125.0,102.0,227.0,0,0,0.0,4.0,0.13194444444444444444
72,2022_Italy,2022,268.0,,,9.0,Italy,Mahmood and Blanco,Brividi,Italian,Ballad,1.0,Male,2,G Major,4,123.0,61.0,52.0,34.0,45.0,0.0,25.0,3.0,0,0,1,0,,110.0,158.0,23.0,26.0,6.0,,,,,0,1,0.0,5.0,0.27421524663677130045
73,2022_Spain,2022,459.0,,,10.0,Spain,Chanel,SloMo,"Spanish, English",Pop,1.0,Female,1,Cs Minor,3,105.0,81.0,73.0,59.0,13.0,0.0,9.0,6.0,5,0,0,0,,228.0,231.0,38.0,34.0,3.0,,,,,0,0,1.0,2.0,0.15270935960591133005
74,2022_Germany,2022,6.0,,,13.0,Germany,Malik Harris,Rockstars,English,Ballad,1.0,Male,1,G Major,6,81.0,64.0,65.0,52.0,45.0,0.0,38.0,23.0,0,0,0,1,,6.0,0.0,3.0,0.0,25.0,,,,,0,0,0.0,1.0,0.16555217831813576494
75,2022_United Kingdom,2022,466.0,,,22.0,United Kingdom,Sam Ryder,Space Man,English,Pop,1.0,Male,1,B Major,2,80.0,83.0,47.0,33.0,18.0,0.0,10.0,5.0,0,0,2,1,,183.0,283.0,34.0,35.0,2.0,,,,,0,0,0.0,2.0,0.21160032167269802975
76,2022_France,2022,17.0,,,6.0,France,Alvan and Ahez,Fulenn,Breton,Traditional,1.0,Mix,4,Fs Major,7,120.0,84.0,74.0,48.0,1.0,0.0,24.0,12.0,1,0,0,1,,8.0,9.0,6.0,3.0,24.0,,,,,0,0,0.0,4.0,0.19024290671565625638
77,2021_Lithuania,2021,220.0,1.0,1.0,18.0,Lithuania,The Roop,Discoteque,English,Dance,0.0,Male,1,F Major,6,115.0,80.0,83.0,63.0,5.0,0.0,13.0,6.0,2,2,2,0,1.0,165.0,55.0,27.0,12.0,8.0,4.0,137.0,66.0,203.0,0,0,0.0,0.0,0.12592910234419668382
78,2021_Slovenia,2021,,1.0,2.0,,Slovenia,Ana Soklic,Amen,English,Ballad,,Female,1,Ab Minor,10,81.0,40.0,45.0,21.0,48.0,0.0,15.0,5.0,0,0,0,0,0.0,,,,,,13.0,8.0,36.0,44.0,0,0,,1.0,0.11302395209580838323
79,2021_Russia,2021,204.0,1.0,3.0,5.0,Russia,Manizha,Russian Woman,"Russian, English",Traditional,0.0,Female,1,E Minor,7,102.0,70.0,89.0,65.0,20.0,0.0,7.0,19.0,0,4,0,0,1.0,100.0,104.0,22.0,21.0,9.0,3.0,108.0,117.0,225.0,0,0,0.0,5.0,0.32356433506044905009
80,2021_Sweden,2021,109.0,1.0,4.0,25.0,Sweden,Tusse,Voices,English,Pop,0.0,Male,1,Bb Minor,5,90.0,76.0,50.0,40.0,0.0,0.0,13.0,4.0,4,0,0,0,1.0,63.0,46.0,18.0,10.0,14.0,7.0,51.0,91.0,142.0,0,0,0.0,2.0,0.28075333757151938970
81,2021_Australia,2021,,1.0,5.0,,Australia,Montaigne,Technicolour,English,Pop,,Female,1,A Minor,6,119.0,57.0,67.0,27.0,7.0,0.0,27.0,3.0,3,0,0,0,0.0,,,,,,14.0,2.0,26.0,28.0,0,0,,4.0,0.25276806526806526807
